Species,Quarter,NewControl,Latitude,Longitude,Northing,Easting
prickly pear,2020 - Quarter 2,Both,-24.21496,30.8227,7320250.24175365,278878.321357077
prickly pear,2020 - Quarter 2,Both,-24.21409,30.82909,7320356.72004325,279525.984803053
prickly pear,2020 - Quarter 2,Both,-24.21409,30.82909,7320356.72004325,279525.984803053
prickly pear,2020 - Quarter 2,Bio,-24.21074792,30.83251777,7320732.33199492,279868.468123204
prickly pear,2020 - Quarter 2,Bio,-24.21075,30.83252,7320732.10510987,279868.69825242
prickly pear,2020 - Quarter 2,Bio,-24.21332,30.82389,7320433.78989236,278996.382665354
prickly pear,2020 - Quarter 3,Bio,-24.19173,30.8868,7322923.41480992,285351.249469382
prickly pear,2020 - Quarter 3,Bio,-24.19173,30.8868,7322923.41480992,285351.249469382
prickly pear,2020 - Quarter 2,Both,-24.21332412,30.82389363,7320433.339265671,278996.758555504
prickly pear,2020 - Quarter 3,Bio,-24.19275,30.88542,7322808.311426081,285212.742674443
prickly pear,2020 - Quarter 3,Bio,-24.19275,30.88542,7322808.311426081,285212.742674443
prickly pear,2020 - Quarter 3,Bio,-24.20835,30.89376,7321093.14556765,286086.180450927
prickly pear,2020 - Quarter 3,Bio,-24.20835,30.89376,7321093.14556765,286086.180450927
prickly pear,2020 - Quarter 3,Untreated,-24.19651,30.93444,7322466.325691979,290199.53713901
prickly pear,2020 - Quarter 2,Removed,-24.2136,30.83322,7320417.51449611,279944.712214103
prickly pear,2020 - Quarter 2,Bio,-24.21551,30.8283,7320198.17834236,279448.174577772
prickly pear,2020 - Quarter 2,Dead,-24.20042,30.81822,7321853.74145783,278398.035193056
prickly pear,2020 - Quarter 2,Both,-24.20042,30.81822,7321853.74145783,278398.035193056
prickly pear,2020 - Quarter 3,Bio,-24.21199,30.94749,7320771.23113649,291550.60963608
prickly pear,2020 - Quarter 3,Bio,-24.21199,30.94749,7320771.23113649,291550.60963608
prickly pear,2020 - Quarter 3,Chemical,-24.19003,30.88923,7323115.449868821,285595.308005942
prickly pear,2020 - Quarter 3,Chemical,-24.19003,30.88923,7323115.449868821,285595.308005942
prickly pear,2020 - Quarter 2,Both,-24.2133,30.82859,7320443.43861328,279473.828529981
prickly pear,2020 - Quarter 2,Both,-24.21330498,30.82858914,7320442.88561928,279473.749739772
prickly pear,2020 - Quarter 3,Bio,-24.21536508,30.82264254,7320205.27982479,278873.183720291
prickly pear,2020 - Quarter 3,Bio,-24.21614,30.93698,7320295.82350743,290489.716030315
prickly pear,2020 - Quarter 3,Bio,-24.21614,30.93698,7320295.82350743,290489.716030315
prickly pear,2020 - Quarter 3,Removed,-24.21188149,30.82589092,7320596.30057118,279197.178397075
prickly pear,2020 - Quarter 3,Chemical,-24.21261809,30.82436063,7320512.28576223,279042.983304259
prickly pear,2020 - Quarter 3,Removed,-24.21261397,30.82441525,7320512.82859255,279048.525159592
prickly pear,2020 - Quarter 3,Chemical,-24.21311,30.82169,7320453.566735581,278772.518007011
prickly pear,2020 - Quarter 3,Untreated,-24.1755,30.91033,7324757.09399999,287715.155090362
prickly pear,2020 - Quarter 3,Untreated,-24.19787,30.93042,7322309.64162631,289793.335367828
prickly pear,2020 - Quarter 3,Untreated,-24.1967,30.93086,7322439.89882755,289836.119910015
prickly pear,2020 - Quarter 3,Untreated,-24.1967,30.93086,7322439.89882755,289836.119910015
prickly pear,2020 - Quarter 3,Removed,-24.19656,30.93076,7322455.25547854,289825.730248325
prickly pear,2020 - Quarter 3,Removed,-24.19656,30.93076,7322455.25547854,289825.730248325
prickly pear,2020 - Quarter 3,Bio,-24.21109,30.89942,7320798.304876511,286665.758398106
prickly pear,2020 - Quarter 3,Untreated,-24.20478,30.83478,7321396.96249436,280088.046813796
prickly pear,2020 - Quarter 4,Bio,-24.19066,30.87424,7323022.58175936,284073.271574871
prickly pear,2020 - Quarter 3,Bio,-24.21382205,30.8224352,7320375.873474281,278849.454353933
prickly pear,2020 - Quarter 3,Removed,-24.1794,30.86964,7324262.71028714,283586.869019126
prickly pear,2020 - Quarter 3,Removed,-24.1954,30.83606,7322437.996795111,280201.998337217
prickly pear,2020 - Quarter 3,Removed,-24.1954,30.83606,7322437.996795111,280201.998337217
prickly pear,2020 - Quarter 3,Removed,-24.2132,30.89321,7320555.08285692,286038.409191177
prickly pear,2020 - Quarter 3,Removed,-24.2132,30.89321,7320555.08285692,286038.409191177
prickly pear,2020 - Quarter 2,Bio,-24.21561,30.83962,7320204.942110039,280598.338770389
prickly pear,2020 - Quarter 2,Bio,-24.21560699,30.8396169,7320205.27065371,280598.018685015
prickly pear,2020 - Quarter 3,Bio,-24.20478,30.83478,7321396.96249436,280088.046813796
prickly pear,2020 - Quarter 3,Bio,-24.19593,30.87654,7322442.38932434,284315.83877864
prickly pear,2020 - Quarter 3,Bio,-24.19593,30.87654,7322442.38932434,284315.83877864
prickly pear,2020 - Quarter 3,Bio,-24.18694,30.85278,7323401.30742079,281886.435661242
prickly pear,2020 - Quarter 3,Both,-24.18694,30.85278,7323401.30742079,281886.435661242
prickly pear,2020 - Quarter 3,Chemical,-24.21289,30.8924,7320588.17889187,285955.604066028
prickly pear,2020 - Quarter 3,Chemical,-24.21289,30.8924,7320588.17889187,285955.604066028
prickly pear,2020 - Quarter 3,Bio,-24.22924,30.94976,7318863.93148316,291809.274145643
prickly pear,2020 - Quarter 3,Bio,-24.18676,30.85211,7323420.19979301,281818.049678706
prickly pear,2020 - Quarter 3,Bio,-24.18676,30.85211,7323420.19979301,281818.049678706
prickly pear,2020 - Quarter 3,Bio,-24.1619,30.9452,7326315.99164652,291236.416205444
prickly pear,2020 - Quarter 3,Bio,-24.1619,30.9452,7326315.99164652,291236.416205444
prickly pear,2020 - Quarter 3,Bio,-24.1619,30.9452,7326315.99164652,291236.416205444
prickly pear,2020 - Quarter 3,Bio,-24.1619,30.9452,7326315.99164652,291236.416205444
prickly pear,2020 - Quarter 2,Bio,-24.21386,30.82372,7320373.70471589,278980.044376131
prickly pear,2020 - Quarter 2,Bio,-24.21363,30.82419,7320399.92602762,279027.395249644
prickly pear,2020 - Quarter 2,Bio,-24.21386464,30.82372323,7320373.19585572,278980.380526733
prickly pear,2020 - Quarter 2,Bio,-24.21362881,30.82418839,7320400.05529562,279027.229633426
prickly pear,2020 - Quarter 3,Untreated,-24.1928,30.8849,7322801.97350113,285159.991750529
prickly pear,2020 - Quarter 3,Untreated,-24.1928,30.8849,7322801.97350113,285159.991750529
prickly pear,2020 - Quarter 3,Bio,-24.20912,30.94146,7321080.10914233,290933.351483659
prickly pear,2020 - Quarter 3,Bio,-24.20912,30.94146,7321080.10914233,290933.351483659
prickly pear,2020 - Quarter 2,Bio,-24.20913,30.82876,7320905.6185445,279483.917066235
prickly pear,2020 - Quarter 3,Bio,-24.2091332,30.8287612,7320905.265975639,279484.044490889
prickly pear,2020 - Quarter 3,Bio,-24.19565,30.92515,7322547.5996805,289254.255260774
prickly pear,2020 - Quarter 3,Bio,-24.19565,30.92515,7322547.5996805,289254.255260774
prickly pear,2020 - Quarter 3,Bio,-24.20403,30.89657,7321575.96040101,286364.449104686
prickly pear,2020 - Quarter 3,Bio,-24.22288,30.94224,7319557.15374296,291035.053824594
prickly pear,2020 - Quarter 3,Bio,-24.22288,30.94224,7319557.15374296,291035.053824594
prickly pear,2020 - Quarter 3,Bio,-24.22924,30.94976,7318863.93148316,291809.274145643
prickly pear,2020 - Quarter 3,Chemical,-24.189330000000002,30.85094,7323133.69677331,281703.541264007
prickly pear,2020 - Quarter 3,Chemical,-24.189330000000002,30.85094,7323133.69677331,281703.541264007
prickly pear,2020 - Quarter 2,Bio,-24.20936914,30.83398032,7320887.36468834,280014.684531341
prickly pear,2020 - Quarter 3,Chemical,-24.19211,30.94113,7322963.72114493,290872.06078836
prickly pear,2020 - Quarter 3,Dead,-24.19211,30.94113,7322963.72114493,290872.06078836
prickly pear,2020 - Quarter 2,Both,-24.21017,30.82862,7320790.19650157,279471.48500145
prickly pear,2020 - Quarter 2,Both,-24.20742,30.83294,7321101.63102902,279905.64370286
prickly pear,2020 - Quarter 2,Both,-24.20742,30.83294,7321101.63102902,279905.64370286
prickly pear,2020 - Quarter 2,Both,-24.21017,30.82862,7320790.19650157,279471.48500145
prickly pear,2020 - Quarter 2,Both,-24.19673,30.87774,7322355.6276269,284439.108435826
prickly pear,2020 - Quarter 2,Both,-24.19673,30.87774,7322355.6276269,284439.108435826
prickly pear,2020 - Quarter 3,Bio,-24.20467,30.84324,7321422.44481903,280947.375815993
prickly pear,2020 - Quarter 3,Both,-24.20467,30.84324,7321422.44481903,280947.375815993
prickly pear,2020 - Quarter 3,Bio,-24.19384,30.88126,7322681.17296899,284791.894914451
prickly pear,2020 - Quarter 3,Bio,-24.19384,30.88126,7322681.17296899,284791.894914451
prickly pear,2020 - Quarter 3,Bio,-24.21824,30.89838,7320004.73261234,286572.025173033
prickly pear,2020 - Quarter 3,Bio,-24.21824,30.89838,7320004.73261234,286572.025173033
prickly pear,2021 - Quarter 1,Bio,-24.19194,30.84956,7322842.43330519,281567.768601118
prickly pear,2021 - Quarter 1,Bio,-24.19211,30.8496,7322823.66513968,281572.122660685
prickly pear,2021 - Quarter 1,Bio,-24.1917,30.84992,7322869.58064694,281603.938289949
prickly pear,2021 - Quarter 1,Bio,-24.1915,30.8494,7322890.9214324,281550.761373572
prickly pear,2021 - Quarter 1,Dead,-24.19189,30.84977,7322848.3000709,281589.020958754
prickly pear,2020 - Quarter 1,Dead,-24.22453,30.87671,7319274.69333758,284381.277540094
prickly pear,2020 - Quarter 1,Removed,-24.22267,30.87823,7319483.06960297,284532.547831293
prickly pear,2020 - Quarter 1,Removed,-24.22272,30.87864,7319478.164233571,284574.280542893
prickly pear,2020 - Quarter 1,Bio,-24.2241,30.88603,7319336.693938781,285327.283610508
prickly pear,2020 - Quarter 1,Bio,-24.22409,30.88633,7319338.2631275,285357.740935827
prickly pear,2020 - Quarter 1,Bio,-24.21763,30.8799,7320043.91670755,284693.710870551
prickly pear,2020 - Quarter 1,Bio,-24.21763,30.87971,7320043.62359109,284674.409577449
prickly pear,2020 - Quarter 1,Bio,-24.20457,30.87674,7321485.6656086,284350.704462653
prickly pear,2020 - Quarter 1,Bio,-24.22317,30.88621,7319439.98462351,285344.008032902
prickly pear,2020 - Quarter 1,Removed,-24.22414,30.89638,7319348.14756444,286378.704543008
prickly pear,2020 - Quarter 1,Both,-24.20303,30.87427,7321652.43133221,284097.165649683
